import time: self [us] | cumulative | imported package
import time:       691 |        691 |                   huggingface_hub._upload_large_folder
import time:      1938 |       1938 |                   huggingface_hub.community
import time:       966 |        966 |                   huggingface_hub.repocard_data
import time:       169 |        169 |                   huggingface_hub.utils._deprecation
import time:       612 |        612 |                   huggingface_hub.utils._verification
import time:       223 |        223 |                   huggingface_hub.utils.endpoint_helpers
import time:     14472 |      65738 |                 transformers.utils.hub
import time:       329 |        329 |                 transformers.utils.kernel_config
import time:       261 |        261 |                 transformers.utils.peft_utils
import time:       506 |     754208 |               transformers.utils
import time:       248 |     754456 |             transformers.utils.versions
import time:      5950 |     760603 |           transformers.dependency_versions_check
import time:       200 |        200 |           transformers.utils.dummy_sentencepiece_and_tokenizers_objects
import time:       250 |        250 |           transformers.utils.dummy_mistral_common_objects
import time:       430 |        430 |           transformers.utils.dummy_torchvision_objects
import time:    265162 |    1028324 |         transformers
import time:       446 |        446 |         huggingface_hub.dataclasses
import time:       376 |        376 |           filecmp
import time:       522 |        898 |         transformers.dynamic_module_utils
import time:       377 |        377 |           transformers.generation
import time:      1381 |       1381 |               torch._utils
import time:       207 |        207 |                   torch._strobelight
import time:        33 |         33 |                       gc
import time:       319 |        351 |                     timeit
import time:       354 |        705 |                   torch._strobelight.cli_function_profiler
import time:       472 |       1383 |                 torch._strobelight.compile_time_profiler
import time:       371 |       1754 |               torch._utils_internal
import time:       194 |        194 |                     torch._vendor
import time:       379 |        572 |                   torch._vendor.packaging
import time:       494 |        494 |                   torch._vendor.packaging._structures
import time:       675 |       1741 |                 torch._vendor.packaging.version
import time:       245 |        245 |                 torch.version
import time:       279 |       2264 |               torch.torch_version
import time:        22 |         22 |               torch._rocm_init
import time:       443 |        443 |                 torch._opaque_base
import time:    107360 |     107803 |               torch._C
import time:       297 |        297 |                 torch._namedtensor_internals
import time:      1137 |       1137 |                 torch.overrides
import time:       809 |       2242 |               torch._tensor
import time:       426 |        426 |                 torch.types
import time:      2220 |       2645 |               torch.storage
import time:       616 |        616 |                 torch.amp.autocast_mode
import time:       420 |        420 |                 torch.amp.grad_scaler
import time:       378 |       1414 |               torch.amp
import time:       372 |        372 |               torch.random
import time:      1240 |       1240 |                 difflib
import time:      1244 |       1244 |                 tarfile
import time:       450 |        450 |                 torch._weights_only_unpickler
import time:       431 |        431 |                 torch._sources
import time:       955 |       4318 |               torch.serialization
import time:       695 |        695 |               torch._tensor_str
import time:       372 |        372 |                 torch.cuda._device_limits
import time:       337 |        337 |                 torch.cuda.gds
import time:        59 |         59 |                     cuda
import time:        13 |         71 |                   cuda.bindings
import time:       350 |        421 |                 torch.cuda._utils
import time:       711 |        711 |                 torch.cuda.graphs
import time:       243 |        243 |                 torch.cuda.green_contexts
import time:       280 |        280 |                 torch.cuda.streams
import time:        46 |         46 |                 pynvml
import time:       334 |        334 |                   torch.cuda._memory_viz
import time:       597 |        931 |                 torch.cuda.memory
import time:       279 |        279 |                 torch.cuda.random
import time:       431 |        431 |                   torch.cuda.amp.autocast_mode
import time:       196 |        196 |                   torch.cuda.amp.common
import time:       369 |        369 |                   torch.cuda.amp.grad_scaler
import time:       231 |       1225 |                 torch.cuda.amp
import time:       242 |        242 |                 torch.cuda.jiterator
import time:       324 |        324 |                 torch.cuda.nvtx
import time:       341 |        341 |                 torch.cuda.profiler
import time:       162 |        162 |                 torch.cuda.sparse
import time:       403 |        403 |                       multiprocessing.process
import time:       292 |        292 |                       multiprocessing.reduction
import time:       604 |       1298 |                     multiprocessing.context
import time:       505 |       1802 |                   multiprocessing
import time:      1292 |       3093 |                 torch.cuda.tunable
import time:      6038 |      15036 |               torch.cuda
import time:       250 |        250 |                   torch.sparse._semi_structured_conversions
import time:       268 |        268 |                   torch.sparse._semi_structured_ops
import time:       705 |       1222 |                 torch.sparse.semi_structured
import time:       357 |       1579 |               torch.sparse
import time:       279 |        279 |               torch._compile
import time:       144 |        144 |               torch._VF
import time:       667 |        667 |                     torch.nn.parameter
import time:       913 |        913 |                         torch._prims_common
import time:       404 |        404 |                             torch.utils.backcompat
import time:       573 |        573 |                             torch.utils.collect_env
import time:       203 |        203 |                                           torch.distributed._pycute.typing
import time:       671 |        874 |                                         torch.distributed._pycute.int_tuple
import time:       335 |        335 |                                         torch.distributed._pycute.layout
import time:       132 |       1339 |                                       torch.distributed._pycute
import time:       734 |       2073 |                                     torch.distributed._mesh_layout
import time:       171 |        171 |                                     torch.utils._typing_utils
import time:       293 |        293 |                                             unittest.util
import time:       531 |        824 |                                           unittest.result
import time:       783 |        783 |                                           unittest.case
import time:       341 |        341 |                                           unittest.suite
import time:       474 |        474 |                                           unittest.loader
import time:       945 |        945 |                                             argparse
import time:       196 |        196 |                                               unittest.signals
import time:       345 |        541 |                                             unittest.runner
import time:       301 |       1785 |                                           unittest.main
import time:       239 |       4443 |                                         unittest
import time:      1180 |       5622 |                                       torch.utils._config_module
import time:       474 |       6096 |                                     torch.distributed.config
import time:       313 |        313 |                                       torch.monitor
import time:       160 |        160 |                                         torch.distributed.logging_handlers
import time:       392 |        551 |                                       torch.distributed.c10d_logger
import time:       208 |        208 |                                       torch.distributed.constants
import time:       298 |        298 |                                       torch.distributed.rendezvous
import time:        49 |         49 |                                         torchcomms
import time:        10 |         59 |                                       torchcomms._comms
import time:        35 |         35 |                                         torchcomms
import time:         8 |         43 |                                       torchcomms._backend_wrapper
import time:      1363 |       2833 |                                     torch.distributed.distributed_c10d
import time:       784 |      11956 |                                   torch.distributed.device_mesh
import time:       303 |        303 |                                   torch.distributed.remote_device
import time:      2496 |      14754 |                                 torch.distributed
import time:       311 |        311 |                                                 torch.utils.data.datapipes._hook_iterator
import time:       365 |        675 |                                               torch.utils.data.datapipes._typing
import time:       174 |        174 |                                                 torch.utils._import_utils
import time:       158 |        158 |                                                   torch.utils.data.datapipes.utils
import time:       393 |        550 |                                                 torch.utils.data.datapipes.utils.common
import time:       724 |        724 |                                                 torch.utils.data.dataset
import time:       491 |       1937 |                                               torch.utils.data.datapipes.datapipe
import time:       294 |       2906 |                                             torch.utils.data.datapipes._decorator
import time:       251 |        251 |                                               torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       328 |        578 |                                             torch.utils.data.datapipes.dataframe.structures
import time:       661 |       4143 |                                           torch.utils.data.datapipes.dataframe.dataframes
import time:       450 |        450 |                                           torch.utils.data.datapipes.dataframe.datapipes
import time:       248 |       4840 |                                         torch.utils.data.datapipes.dataframe
import time:       375 |        375 |                                                 torch.utils.data._utils.collate
import time:       251 |        251 |                                                 torch.utils.data._utils.fetch
import time:       198 |        198 |                                                 torch.utils.data._utils.pin_memory
import time:       130 |        130 |                                                 torch.utils.data._utils.signal_handling
import time:      1614 |       1614 |                                                 torch.utils.data._utils.worker
import time:       299 |       2865 |                                               torch.utils.data._utils
import time:        18 |       2883 |                                             torch.utils.data._utils.collate
import time:       577 |       3459 |                                           torch.utils.data.datapipes.iter.callable
import time:       367 |        367 |                                             torch.utils.data.sampler
import time:       341 |        707 |                                           torch.utils.data.datapipes.iter.combinatorics
import time:       722 |        722 |                                           torch.utils.data.datapipes.iter.combining
import time:       198 |        198 |                                             torch.utils.data.datapipes.iter.utils
import time:       278 |        476 |                                           torch.utils.data.datapipes.iter.filelister
import time:       193 |        193 |                                           torch.utils.data.datapipes.iter.fileopener
import time:       309 |        309 |                                           torch.utils.data.datapipes.iter.grouping
import time:       297 |        297 |                                             torch.utils.data.datapipes.utils.decoder
import time:       140 |        436 |                                           torch.utils.data.datapipes.iter.routeddecoder
import time:       387 |        387 |                                           torch.utils.data.datapipes.iter.selecting
import time:       322 |        322 |                                           torch.utils.data.datapipes.iter.sharding
import time:       135 |        135 |                                           torch.utils.data.datapipes.iter.streamreader
import time:       370 |       7513 |                                         torch.utils.data.datapipes.iter
import time:       310 |        310 |                                           torch.utils.data.datapipes.map.callable
import time:       272 |        272 |                                           torch.utils.data.datapipes.map.combinatorics
import time:       351 |        351 |                                           torch.utils.data.datapipes.map.combining
import time:       455 |        455 |                                           torch.utils.data.datapipes.map.grouping
import time:       208 |        208 |                                           torch.utils.data.datapipes.map.utils
import time:       242 |       1836 |                                         torch.utils.data.datapipes.map
import time:       129 |      14316 |                                       torch.utils.data.datapipes
import time:        32 |      14348 |                                     torch.utils.data.datapipes.iter
import time:        17 |      14364 |                                   torch.utils.data.datapipes.iter.sharding
import time:       159 |        159 |                                   torch.utils.data.graph
import time:       254 |      14776 |                                 torch.utils.data.graph_settings
import time:       569 |      30098 |                               torch.utils.data.dataloader
import time:       242 |        242 |                               torch.utils.data.distributed
import time:       123 |      30462 |                             torch.utils.data
import time:       137 |        137 |                             torch.utils.deterministic
import time:       301 |        301 |                             torch.utils.hooks
import time:       316 |        316 |                             torch.utils.backend_registration
import time:       211 |        211 |                             torch.utils.cpp_backtrace
import time:       219 |        219 |                             torch.utils.throughput_benchmark
import time:       361 |      32980 |                           torch.utils
import time:       127 |        127 |                           torchgen
import time:       370 |        370 |                               torchgen.code_template
import time:       559 |        928 |                             torchgen.utils
import time:     12113 |      13040 |                           torchgen.model
import time:       886 |      47032 |                         torch.utils._python_dispatch
import time:       887 |      48831 |                       torch.nn.modules.module
import time:       482 |        482 |                               torch.distributed.autograd
import time:       398 |        398 |                                 torch.futures
import time:       242 |        242 |                                 torch.distributed.rpc._utils
import time:       241 |        241 |                                 torch.distributed.rpc.constants
import time:       905 |        905 |                                 torch.distributed.rpc.internal
import time:       815 |       2599 |                               torch.distributed.rpc.api
import time:       499 |        499 |                               torch.distributed.rpc.backend_registry
import time:       246 |        246 |                               torch.distributed.rpc.functions
import time:       284 |        284 |                               torch.distributed.rpc.options
import time:       108 |        108 |                                                   torch._functorch
import time:       369 |        369 |                                                       torch.utils._contextlib
import time:       276 |        645 |                                                     torch.autograd.grad_mode
import time:       400 |       1044 |                                                   torch.autograd.forward_ad
import time:       443 |       1594 |                                                 torch._functorch.pyfunctorch
import time:       743 |       2336 |                                               torch._ops
import time:       588 |        588 |                                               torch._library.utils
import time:       856 |       3779 |                                             torch._library.autograd
import time:       326 |        326 |                                             torch._library.fake_impl
import time:       182 |        182 |                                               torch._library.effects
import time:       263 |        445 |                                             torch._library.simple_registry
import time:       372 |        372 |                                             torch._library.fake_class_registry
import time:        97 |         97 |                                               torch.utils._exposed_in
import time:       472 |        472 |                                               torch._library.custom_ops
import time:       678 |        678 |                                                 torch._library.opaque_object
import time:       508 |       1185 |                                               torch._library.infer_schema
import time:       305 |       2057 |                                             torch._library.triton
import time:       252 |       7229 |                                           torch._library
import time:        16 |       7245 |                                         torch._library.opaque_object
import time:      3419 |      10663 |                                       torch.utils._pytree
import time:       262 |      10924 |                                     torch._vmap_internals
import time:       573 |        573 |                                     torch.autograd.functional
import time:       204 |        204 |                                       torch.autograd.variable
import time:       657 |        861 |                                     torch.autograd.graph
import time:       265 |        265 |                                     torch.autograd.anomaly_mode
import time:       187 |        187 |                                           torch._functorch.utils
import time:       373 |        373 |                                             torch._functorch.predispatch
import time:       291 |        664 |                                           torch._functorch.vmap
import time:       254 |       1103 |                                         torch._functorch.apis
import time:       607 |       1710 |                                       torch._functorch.autograd_function
import time:       522 |       2231 |                                     torch.autograd.function
import time:       220 |        220 |                                         torch.testing._utils
import time:      1345 |       1345 |                                           cmath
import time:       682 |       2026 |                                         torch.testing._comparison
import time:       277 |        277 |                                         torch.testing._creation
import time:       320 |       2842 |                                       torch.testing
import time:       642 |       3483 |                                     torch.autograd.gradcheck
import time:       858 |        858 |                                       torch.autograd.profiler_util
import time:       926 |       1783 |                                     torch.autograd.profiler
import time:      1124 |      21241 |                                   torch.autograd
import time:       442 |      21682 |                                 torch.autograd.profiler_legacy
import time:       251 |      21933 |                               torch.distributed.rpc.server_process_global_profiler
import time:      1045 |      27085 |                             torch.distributed.rpc
import time:       728 |        728 |                                         pickletools
import time:       260 |        260 |                                         torch.package._digraph
import time:       105 |        105 |                                         torch.package._importlib
import time:       175 |        175 |                                         torch.package._mangling
import time:       273 |        273 |                                           torch.package.importer
import time:       242 |        514 |                                         torch.package._package_pickler
import time:        93 |         93 |                                         torch.package._stdlib
import time:       271 |        271 |                                         torch.package.find_file_dependencies
import time:       186 |        186 |                                         torch.package.glob_group
import time:      1055 |       3385 |                                       torch.package.package_exporter
import time:       237 |       3621 |                                     torch.package.analyze.find_first_use_of_broken_modules
import time:       242 |        242 |                                     torch.package.analyze.trace_dependencies
import time:       345 |       4206 |                                   torch.package.analyze
import time:       110 |       4316 |                                 torch.package.analyze.is_from_package
import time:       208 |        208 |                                 torch.package.file_structure_representation
import time:       139 |        139 |                                   torch.package._directory_reader
import time:       121 |        121 |                                   torch.package._package_unpickler
import time:       469 |        728 |                                 torch.package.package_importer
import time:       198 |       5449 |                               torch.package
import time:        14 |       5462 |                             torch.package._mangling
import time:       160 |        160 |                             torch._awaits
import time:      1007 |      33712 |                           torch._jit_internal
import time:      1450 |       1450 |                           torch._torch_docs
import time:       265 |        265 |                           torch.nn._reduction
import time:       361 |        361 |                             torch.nn.modules.utils
import time:       330 |        691 |                           torch.nn.grad
import time:      3631 |      39747 |                         torch.nn.functional
import time:       436 |        436 |                         torch.nn.init
import time:       308 |        308 |                         torch.nn.modules.lazy
import time:       559 |      41047 |                       torch.nn.modules.linear
import time:       583 |        583 |                       torch.nn.modules.activation
import time:       699 |        699 |                         torch.nn.modules.container
import time:       297 |        995 |                       torch.nn.modules.adaptive
import time:       251 |        251 |                         torch.nn.modules._functions
import time:       493 |        744 |                       torch.nn.modules.batchnorm
import time:       221 |        221 |                       torch.nn.modules.channelshuffle
import time:       485 |        485 |                         torch.nn.common_types
import time:       737 |       1222 |                       torch.nn.modules.conv
import time:       262 |        262 |                       torch.nn.modules.distance
import time:       178 |        178 |                       torch.nn.modules.dropout
import time:       274 |        274 |                       torch.nn.modules.flatten
import time:       598 |        598 |                       torch.nn.modules.fold
import time:       322 |        322 |                       torch.nn.modules.instancenorm
import time:       555 |        555 |                       torch.nn.modules.loss
import time:       324 |        324 |                       torch.nn.modules.normalization
import time:       550 |        550 |                       torch.nn.modules.padding
import time:       144 |        144 |                       torch.nn.modules.pixelshuffle
import time:       636 |        636 |                       torch.nn.modules.pooling
import time:       271 |        271 |                                 torch.__future__
import time:       321 |        592 |                               torch.nn.utils.parametrize
import time:       577 |       1168 |                             torch.nn.utils.parametrizations
import time:       484 |        484 |                             torch.nn.utils.rnn
import time:       259 |        259 |                               torch.nn.utils._named_member_accessor
import time:       281 |        539 |                             torch.nn.utils.stateless
import time:       215 |        215 |                               torch.utils._foreach_utils
import time:       183 |        397 |                             torch.nn.utils.clip_grad
import time:       166 |        166 |                             torch.nn.utils.convert_parameters
import time:       139 |        139 |                             torch.nn.utils.fusion
import time:       174 |        174 |                             torch.nn.utils.init
import time:      1004 |       1004 |                             torch.nn.utils.memory_format
import time:       307 |        307 |                             torch.nn.utils.spectral_norm
import time:       305 |        305 |                             torch.nn.utils.weight_norm
import time:       253 |       4931 |                           torch.nn.utils
import time:        14 |       4945 |                         torch.nn.utils.rnn
import time:      2094 |       7039 |                       torch.nn.modules.rnn
import time:       314 |        314 |                       torch.nn.modules.sparse
import time:       401 |        401 |                       torch.nn.modules.transformer
import time:       367 |        367 |                       torch.nn.modules.upsampling
import time:       578 |     106175 |                     torch.nn.modules
import time:       212 |        212 |                           torch.backends.cpu
import time:       435 |        435 |                           torch.backends.cuda
import time:       220 |        220 |                             torch.backends.cudnn.rnn
import time:       336 |        556 |                           torch.backends.cudnn
import time:       277 |        277 |                           torch.backends.cusparselt
import time:       174 |        174 |                           torch.backends.kleidiai
import time:        94 |         94 |                           torch.backends.mha
import time:       114 |        114 |                           torch.backends.miopen
import time:       105 |        105 |                           torch.backends.mkl
import time:       146 |        146 |                           torch.backends.mkldnn
import time:       707 |        707 |                             torch.library
import time:       209 |        916 |                           torch.backends.mps
import time:       145 |        145 |                           torch.backends.nnpack
import time:       100 |        100 |                           torch.backends.openmp
import time:        52 |         52 |                             opt_einsum
import time:       415 |        466 |                           torch.backends.opt_einsum
import time:       355 |        355 |                           torch.backends.python_native
import time:       189 |        189 |                           torch.backends.quantized
import time:       654 |       4931 |                         torch.backends
import time:        13 |       4944 |                       torch.backends.cuda
import time:       387 |        387 |                       torch.nn.attention._registry
import time:       562 |        562 |                       torch.nn.attention._fa3
import time:       444 |        444 |                       torch.nn.attention._fa4
import time:       342 |       6677 |                     torch.nn.attention
import time:       213 |        213 |                         torch.nn.parallel.parallel_apply
import time:       239 |        239 |                             torch.cuda.nccl
import time:       234 |        472 |                           torch.nn.parallel.comm
import time:       370 |        841 |                         torch.nn.parallel.replicate
import time:       311 |        311 |                           torch.nn.parallel._functions
import time:       284 |        594 |                         torch.nn.parallel.scatter_gather
import time:       416 |       2064 |                       torch.nn.parallel.data_parallel
import time:       515 |        515 |                             torch.distributed.algorithms.join
import time:       255 |        770 |                           torch.distributed.algorithms
import time:        12 |        781 |                         torch.distributed.algorithms.join
import time:       445 |        445 |                         torch.distributed.utils
import time:      3207 |       4432 |                       torch.nn.parallel.distributed
import time:       180 |       6674 |                     torch.nn.parallel
import time:       364 |     120556 |                   torch.nn
import time:        13 |     120568 |                 torch.nn.functional
import time:       129 |        129 |                   torch._linalg_utils
import time:       262 |        390 |                 torch._lowrank
import time:      2252 |     123209 |               torch.functional
import time:       409 |        409 |               torch.__config__
import time:       319 |        319 |                 torch.accelerator._utils
import time:       184 |        184 |                 torch.accelerator.graphs
import time:       237 |        237 |                 torch.accelerator.memory
import time:       349 |       1088 |               torch.accelerator
import time:       314 |        314 |                   torch.cpu.amp.autocast_mode
import time:       196 |        196 |                   torch.cpu.amp.grad_scaler
import time:       569 |       1078 |                 torch.cpu.amp
import time:       286 |       1364 |               torch.cpu
import time:       576 |        576 |                   torch.distributions.constraints
import time:       515 |        515 |                     torch.distributions.utils
import time:       502 |       1017 |                   torch.distributions.distribution
import time:       867 |       2459 |                 torch.distributions.transforms
import time:       219 |        219 |                   torch.distributions.exp_family
import time:       165 |        383 |                 torch.distributions.bernoulli
import time:       184 |        184 |                   torch.distributions.dirichlet
import time:       147 |        330 |                 torch.distributions.beta
import time:       225 |        225 |                 torch.distributions.binomial
import time:       233 |        233 |                 torch.distributions.categorical
import time:       254 |        254 |                 torch.distributions.cauchy
import time:       132 |        132 |                   torch.distributions.gamma
import time:       181 |        312 |                 torch.distributions.chi2
import time:       246 |        246 |                 torch.distributions.constraint_registry
import time:       263 |        263 |                 torch.distributions.continuous_bernoulli
import time:       127 |        127 |                 torch.distributions.exponential
import time:       122 |        122 |                 torch.distributions.fishersnedecor
import time:       231 |        231 |                 torch.distributions.generalized_pareto
import time:       134 |        134 |                 torch.distributions.geometric
import time:       244 |        244 |                     torch.distributions.independent
import time:       143 |        386 |                   torch.distributions.transformed_distribution
import time:       134 |        134 |                   torch.distributions.uniform
import time:       258 |        777 |                 torch.distributions.gumbel
import time:       255 |        255 |                 torch.distributions.half_cauchy
import time:       721 |        721 |                   torch.distributions.normal
import time:       231 |        951 |                 torch.distributions.half_normal
import time:       145 |        145 |                 torch.distributions.inverse_gamma
import time:       134 |        134 |                   torch.distributions.laplace
import time:       210 |        210 |                     torch.distributions.multivariate_normal
import time:       257 |        467 |                   torch.distributions.lowrank_multivariate_normal
import time:       466 |        466 |                   torch.distributions.one_hot_categorical
import time:       325 |        325 |                   torch.distributions.pareto
import time:       112 |        112 |                   torch.distributions.poisson
import time:       570 |       2071 |                 torch.distributions.kl
import time:       210 |        210 |                 torch.distributions.kumaraswamy
import time:       126 |        126 |                 torch.distributions.lkj_cholesky
import time:       201 |        201 |                 torch.distributions.log_normal
import time:       211 |        211 |                 torch.distributions.logistic_normal
import time:       826 |        826 |                 torch.distributions.mixture_same_family
import time:       217 |        217 |                 torch.distributions.multinomial
import time:       149 |        149 |                 torch.distributions.negative_binomial
import time:       394 |        394 |                 torch.distributions.relaxed_bernoulli
import time:       140 |        140 |                 torch.distributions.relaxed_categorical
import time:       125 |        125 |                 torch.distributions.studentT
import time:       196 |        196 |                       torch.jit._builtins
import time:      1226 |       1421 |                     torch.jit._async
import time:       114 |        114 |                     torch.jit._await
import time:        94 |         94 |                     torch.jit._decomposition_utils
import time:       197 |        197 |                         torch._classes
import time:       116 |        116 |                         torch.jit._fuser
import time:        53 |         53 |                           monkeytype
import time:       246 |        299 |                         torch.jit._monkeytype_config
import time:       129 |        129 |                           torch.jit._check
import time:       231 |        231 |                           torch.jit._state
import time:       362 |        362 |                             torch.jit.annotations
import time:       227 |        227 |                             torch.jit._dataclass_impls
import time:       668 |       1256 |                           torch.jit.frontend
import time:       519 |       2134 |                         torch.jit._recursive
import time:       325 |        325 |                         torch.jit._serialization
import time:       951 |       4020 |                       torch.jit._script
import time:       107 |       4127 |                     torch.jit._freeze
import time:       167 |        167 |                     torch.jit._ir_utils
import time:       794 |        794 |                     torch.jit._trace
import time:       373 |       7087 |                   torch.jit
import time:       399 |       7486 |                 torch.distributions.von_mises
import time:       305 |        305 |                 torch.distributions.weibull
import time:       410 |        410 |                 torch.distributions.wishart
import time:       420 |      20726 |               torch.distributions
import time:       433 |        433 |               torch.fft
import time:       442 |        442 |               torch.hub
import time:       425 |        425 |               torch.linalg
import time:       283 |        283 |                 torch.mps.profiler
import time:       180 |        180 |                 torch.mps.event
import time:       280 |        742 |               torch.mps
import time:       161 |        161 |                 torch._environment
import time:       133 |        133 |                 torch.mtia._utils
import time:        99 |         99 |                 torch.mtia.memory
import time:       225 |        225 |                 torch.mtia.mtia_graph
import time:       445 |       1060 |               torch.mtia
import time:       517 |        517 |                   multiprocessing.util
import time:       325 |        325 |                   multiprocessing.resource_sharer
import time:       347 |       1188 |                 torch.multiprocessing.reductions
import time:      1393 |       1393 |                     _multiprocessing
import time:        64 |         64 |                     _winapi
import time:       550 |       2007 |                   multiprocessing.connection
import time:       247 |       2253 |                 torch.multiprocessing.spawn
import time:       103 |        103 |                     runpy
import time:       300 |        403 |                   multiprocessing.spawn
import time:      1748 |       1748 |                   _posixshmem
import time:       394 |       2544 |                 multiprocessing.resource_tracker
import time:       262 |       6247 |               torch.multiprocessing
import time:       167 |        167 |                   torch.nested._internal
import time:       138 |        138 |                             torch.fx._compatibility
import time:       341 |        478 |                           torch.fx.immutable_collections
import time:       106 |        106 |                                 torch.fx.experimental
import time:       959 |        959 |                                 torch.fx.experimental._config
import time:       341 |        341 |                                   torch.utils._dtype_abbrs
import time:       482 |        482 |                                     torch.return_types
import time:       172 |        653 |                                   torch.fx._pytree
import time:       202 |        202 |                                       torch.utils._inspect
import time:       569 |        770 |                                     torch.fx.operator_schemas
import time:      4092 |       4862 |                                   torch.fx.node
import time:      2306 |       8161 |                                 torch.fx.graph
import time:       664 |       9889 |                               torch.fx.graph_module
import time:       341 |      10229 |                             torch.fx._lazy_graph_module
import time:       564 |        564 |                               torch.fx.traceback
import time:       401 |        401 |                                     pkgutil
import time:       128 |        128 |                                     torch._logging.structured
import time:      1607 |       1607 |                                       unittest.mock
import time:       332 |        332 |                                       torch.utils._ordered_set
import time:       255 |        255 |                                       torch.utils._traceback
import time:       467 |        467 |                                       torch.utils.weak
import time:      4313 |       6972 |                                     torch._guards
import time:      1316 |       8815 |                                   torch._logging._internal
import time:       317 |       9132 |                                 torch._logging._registrations
import time:       252 |       9383 |                               torch._logging
import time:      1085 |      11031 |                             torch.fx.proxy
import time:      1080 |      22339 |                           torch.fx._symbolic_trace
import time:       243 |        243 |                             torch.fx.config
import time:       530 |        773 |                           torch.fx.interpreter
import time:       737 |        737 |                           torch.fx.subgraph_rewriter
import time:       400 |      24725 |                         torch.fx
import time:        15 |      24739 |                       torch.fx.experimental
import time:       308 |      25047 |                     torch.fx.experimental._constant_symnode
import time:       308 |      25354 |                   torch.nested._internal.nested_int
import time:       728 |      26249 |                 torch.nested._internal.nested_tensor
import time:       427 |      26675 |               torch.nested
import time:       560 |        560 |                   torch.optim.optimizer
import time:      1118 |       1678 |                 torch.optim.lr_scheduler
import time:       380 |        380 |                 torch.optim.swa_utils
import time:       376 |        376 |                 torch.optim._adafactor
import time:       367 |        367 |                 torch.optim._muon
import time:       406 |        406 |                 torch.optim.adadelta
import time:       377 |        377 |                 torch.optim.adagrad
import time:       371 |        371 |                 torch.optim.adam
import time:       679 |        679 |                 torch.optim.adamax
import time:       302 |        302 |                 torch.optim.adamw
import time:       314 |        314 |                 torch.optim.asgd
import time:       338 |        338 |                 torch.optim.lbfgs
import time:       362 |        362 |                 torch.optim.nadam
import time:       500 |        500 |                 torch.optim.radam
import time:       252 |        252 |                 torch.optim.rmsprop
import time:       399 |        399 |                 torch.optim.rprop
import time:      1968 |       1968 |                 torch.optim.sgd
import time:       244 |        244 |                   torch.optim._functional
import time:       295 |        538 |                 torch.optim.sparse_adam
import time:       445 |      10046 |               torch.optim
import time:       605 |        605 |                   gzip
import time:      1113 |       1113 |                     torch.profiler._utils
import time:      1832 |       2945 |                   torch.profiler._memory_profiler
import time:       530 |       4079 |                 torch.profiler.profiler
import time:       170 |        170 |                 torch.profiler.itt
import time:       288 |       4536 |               torch.profiler
import time:       242 |        242 |               torch.special
import time:       147 |        147 |                 torch.xpu._utils
