import time: self [us] | cumulative | imported package
import time:       704 |      28336 |                       numpy.__config__
import time:       177 |        177 |                                         numpy._typing._nbit_base
import time:       173 |        173 |                                         numpy._typing._nested_sequence
import time:        95 |         95 |                                         numpy._typing._shape
import time:      1281 |       1724 |                                       numpy._typing._array_like
import time:      1341 |       1341 |                                       numpy._typing._char_codes
import time:      1385 |       1385 |                                       numpy._typing._dtype_like
import time:       318 |        318 |                                       numpy._typing._nbit
import time:       123 |        123 |                                       numpy._typing._scalars
import time:        91 |         91 |                                       numpy._typing._ufunc
import time:       292 |       5271 |                                     numpy._typing
import time:       313 |        313 |                                       numpy.lib._stride_tricks_impl
import time:       390 |        703 |                                     numpy.lib._twodim_base_impl
import time:       107 |        107 |                                       numpy.lib._array_utils_impl
import time:       112 |        218 |                                     numpy.lib.array_utils
import time:      1236 |       1236 |                                     numpy.linalg._umath_linalg
import time:      1226 |       8652 |                                   numpy.linalg._linalg
import time:       255 |       8906 |                                 numpy.linalg
import time:       489 |       9394 |                               numpy.matrixlib.defmatrix
import time:       225 |       9618 |                             numpy.matrixlib
import time:       587 |        587 |                               numpy.lib._histograms_impl
import time:       839 |       1425 |                             numpy.lib._function_base_impl
import time:       417 |      11459 |                           numpy.lib._index_tricks_impl
import time:       520 |      11979 |                         numpy.lib._arraypad_impl
import time:       569 |        569 |                         numpy.lib._arraysetops_impl
import time:       267 |        267 |                         numpy.lib._arrayterator_impl
import time:       404 |        404 |                         numpy.lib._nanfunctions_impl
import time:        65 |         65 |                                   _wmi
import time:       630 |        694 |                                 platform
import time:       326 |       1019 |                               numpy.lib._utils_impl
import time:       298 |       1317 |                             numpy.lib._format_impl
import time:       178 |       1494 |                           numpy.lib.format
import time:       437 |        437 |                           numpy.lib._datasource
import time:       376 |        376 |                           numpy.lib._iotools
import time:       734 |       3040 |                         numpy.lib._npyio_impl
import time:       170 |        170 |                             numpy.lib._ufunclike_impl
import time:       345 |        514 |                           numpy.lib._type_check_impl
import time:       659 |       1173 |                         numpy.lib._polynomial_impl
import time:       344 |        344 |                         numpy.lib._shape_base_impl
import time:       208 |        208 |                         numpy.lib._version
import time:       257 |        257 |                         numpy.lib.introspect
import time:       142 |        142 |                         numpy.lib.mixins
import time:       199 |        199 |                         numpy.lib.npyio
import time:       339 |        339 |                           numpy.lib._scimath_impl
import time:       896 |       1235 |                         numpy.lib.scimath
import time:       172 |        172 |                         numpy.lib.stride_tricks
import time:       349 |      20331 |                       numpy.lib
import time:       343 |        343 |                       numpy._array_api_info
import time:      1389 |      52388 |                     numpy
import time:       436 |        436 |                         huggingface_hub
import time:       264 |        264 |                             httpx.__version__
import time:      2948 |       2948 |                                     _hashlib
import time:       544 |        544 |                                     _blake2
import time:       379 |       3869 |                                   hashlib
import time:       540 |        540 |                                     binascii
import time:       464 |       1003 |                                   base64
import time:       450 |        450 |                                     urllib
import time:       260 |        260 |                                     email
import time:       677 |        677 |                                       http
import time:       458 |        458 |                                           email.errors
import time:       302 |        302 |                                               email.quoprimime
import time:       220 |        220 |                                               email.base64mime
import time:       186 |        186 |                                                   quopri
